scientific_name,Type Count
Acacia dealbata,6
Acacia decurrens,6
Yucca aloifolia,6
Acacia myrtifolia,6
Polyscias sambucifolia,6
Pittosporum undulatum,6
Platysace ericoides,6
Platysace lanceolata,6
Pennantia cunninghamii,6
Pseuderanthemum variabile,6
Psidium guajava,6
Parsonsia straminea,6
Palmeria scandens,6
Parsonsia lanceolata,6
Ptilotus seminudus,6
Omphacomeria acerba,6
Rhodamnia rubescens,6
Melaleuca styphelioides,6
Melaleuca thymifolia,6
Metrosideros excelsa,6
Micromyrtus ciliata,6
Melaleuca armillaris,6
Melaleuca bracteata,6
Melaleuca deanei,6
Melaleuca decora,6
Melaleuca decussata,6
Melaleuca diosmatifolia,6
Melaleuca ericifolia,6
Melaleuca hypericifolia,6
Melaleuca leucadendra,6
Melaleuca linariifolia,6
Melaleuca nodosa,6
Melaleuca quinquenervia,6
Melaleuca sieberi,6
Melaleuca squarrosa,6
Allocasuarina torulosa,6
Alphitonia excelsa,6
Agave americana,6
Agonis flexuosa,6
Lomandra multiflora,6
Lomandra obliqua,6
Lophostemon confertus,6
Lomandra brevis,6
Lomandra confertifolia,6
Lomandra cylindrica,6
Lomandra filiformis,6
Lomandra glauca,6
Lomandra gracilis,6
Lomandra hystrix,6
Lomandra longifolia,6
Lomandra micrantha,6
Linospadix monostachyos,6
Litsea leefeana,6
Livistona australis,6
Alternanthera denticulata,6
Amaranthus macrocarpus,6
Alisma plantago-aquatica,6
Allocasuarina littoralis,6
Allocasuarina paludosa,6
Leptospermum lanigerum,6
Leptospermum parvifolium,6
Leptospermum petersonii,6
Leptospermum polyanthum,6
Leptospermum polygalifolium,6
Leptospermum scoparium,6
Leptospermum trinervium,6
Leptomeria acida,6
Leptospermum arachnoides,6
Leptospermum grandifolium,6
Leptospermum juniperinum,6
Leptospermum laevigatum,6
Vincetoxicum barbatum,6
Vincetoxicum woollsii,6
Alstroemeria psittacina,6
Salicornia quinqueflora,6
Sambucus australasica,6
Sannantha pluriflora,6
Laxmannia gracilis,6
Leichhardtia flavescens,6
Leichhardtia rostrata,6
Leichhardtia suaveolens,6
Leichhardtia viridiflora,6
Kunzea ambigua,6
Kunzea capitata,6
Arthropodium milleflorum,6
Arthropodium minus,6
Angophora bakeri,6
Angophora costata,6
Angophora floribunda,6
Angophora hispida,6
Angophora subvelutina,6
Jacksonia scoparia,6
Hydrocotyle acutiloba,6
Hydrocotyle laxiflora,6
Hydrocotyle sibthorpioides,6
Hydrocotyle tripartita,6
Hakea sericea,6
Harmogia densifolia,6
Hakea laurina,6
Aphanopetalum resinosum,6
Apium prostratum,6
Grevillea robusta,6
Geranium solanderi,6
Euryomyrtus ramosissima,6
Eustrephus latifolius,6
Exocarpos cupressiformis,6
Exocarpos strictus,6
Eucalyptus sieberi,6
Eucalyptus squamosa,6
Eucalyptus tereticornis,6
Eucalyptus umbra,6
Eucalyptus viminalis,6
Eucalyptus moluccana,6
Eucalyptus nicholii,6
Eucalyptus obstans,6
Eucalyptus paniculata,6
Eucalyptus parramattensis,6
Eucalyptus pilularis,6
Eucalyptus piperita,6
Eucalyptus polyanthemos,6
Eucalyptus punctata,6
Eucalyptus racemosa,6
Eucalyptus resinifera,6
Eucalyptus robusta,6
Eucalyptus saligna,6
Avicennia marina,6
Asparagus aethiopicus,6
Asparagus africanus,6
Asparagus asparagoides,6
Asparagus officinalis,6
Asparagus plumosus,6
Asparagus scandens,6
Asparagus virgatus,6
Banksia integrifolia,6
Banksia marginata,6
Banksia spinulosa,6
Austromyrtus dulcis,6
Austromyrtus tenuifolia,6
Eucalyptus scoparia,6
Eucalyptus siderophloia,6
Eucalyptus sideroxylon,6
Eucalyptus cladocalyx,6
Eucalyptus consideniana,6
Eucalyptus crebra,6
Eucalyptus elata,6
Eucalyptus eugenioides,6
Eucalyptus fibrosa,6
Eucalyptus globoidea,6
Eucalyptus globulus,6
Eucalyptus grandis,6
Eucalyptus haemastoma,6
Eucalyptus longifolia,6
Eucalyptus macrorhyncha,6
Eucalyptus major,6
Backhousia myrtifolia,6
Baeckea diosmifolia,6
Baeckea linifolia,6
Eucalyptus mannifera,6
Eucalyptus melliodora,6
Eucalyptus microcorys,6
Erythrorchis cassythoides,6
Eucalyptus acmenoides,6
Eucalyptus amplifolia,6
Eucalyptus baueriana,6
Eucalyptus beyeriana,6
Eucalyptus bosistoana,6
Eucalyptus botryoides,6
Eucalyptus caleyi,6
Eucalyptus camaldulensis,6
Eucalyptus camfieldii,6
Eucalyptus canaliculata,6
Eucalyptus capitellata,6
Eucalyptus chlorophylla,6
Spyridium parvifolium,6
Dipodium punctatum,6
Dipodium roseum,6
Dipodium variegatum,6
Dodonaea viscosa,6
Syncarpia glomulifera,6
Brunoniella australis,6
Brunoniella pumilio,6
Bossiaea ensata,6
Bossiaea scolopendria,6
Cupaniopsis anacardioides,6
Corymbia torelliana,6
Crinum pedunculatum,6
Correa reflexa,6
Corymbia calophylla,6
Corymbia citriodora,6
Corymbia eximia,6
Corymbia ficifolia,6
Corymbia gummifera,6
Corymbia maculata,6
Syzygium australe,6
Syzygium moorei,6
Syzygium paniculatum,6
Syzygium smithii,6
Tetragonia tetragonoides,6
Tristaniopsis laurina,6
Breynia oblongifolia,6
Cordyline petiolaris,6
Cordyline stricta,6
Cissus hypoglauca,6
Commelina cyanea,6
Chlorophytum comosum,6
Centella asiatica,6
Centella cordifolia,6
Chamelaucium uncinatum,6
Thysanotus juncifolius,6
Thysanotus tuberosus,6
Toona ciliata,6
Trachymene incisa,6
Castanospermum australe,6
Casuarina cunninghamiana,6
Casuarina glauca,6
Callistemon citrinus,6
Callistemon comboynensis,6
Callistemon linearifolius,6
Carpobrotus glaucescens,6
Cassytha glabella,6
Calytrix tetragona,6
Capparis mitchellii,6
Callistemon linearis,6
Callistemon pachyphyllus,6
Callistemon pallidus,6
Callistemon pinifolius,6
Callistemon salignus,6
Callistemon sieberi,6
Callistemon subulatus,6
Callistemon viminalis,6
